Name
Bayji
Sayyid Sadiq
Balad
Halabjah
Jamjamal
Hit
Az Zubaydiyah
An Nu`maniyah
Saymayl
Al Qa'im
Al Musayyib
As Suwayrah
Tall `Afar
Imam Qasim
Al Hayy
Al Hindiyah
Nahiyat al Karmah
Rawanduz
Ad Dujayl
Nahiyat al Iskandariyah
Al Faw
Tikrit
Umm Qasr
Qal`at Sukkar
Ar Rumaythah
Salman Bak
Tuz Khurmatu
Nahiyat Khan Bani Sa`d
Nahiyat Ghammas
Samarra'
Al Miqdadiyah
Al Kufah
Abu Ghurayb
Zakhu
At Taji
`Aqrah
As Samawah
Abi al Khasib
Kalar
Al Fallujah
Ash Shatrah
Sab` al Bur
Raniyah
Al Hamzah
Al Qurnah
Ash Shamiyah
Al Kut
Dahuk
Sawran
Az Zubayr
Ad Diwaniyah
Ba`qubah
Al `Amarah
Al Hillah
An Nasiriyah
Karbala'
An Najaf
Erbil
Ar Ramadi
As Sulaymaniyah
Kirkuk
Al Basrah
Mosul
Baghdad
